sentiment,text,label
negative,"Its been less than 1 month and samsung m31 is working only for less than 1day..

* despite having 6000mAh battery.. I'm recharging at every 18th hour.. i thought it eould run atleast 36hours in fully charged battery

*the phone gets automatically restarts while working in btwn

*Out of 6Gb. Only 2Gb is available and rest 4Gb is lost (no idea where)

*it Hangs a lot

#needreplacement #samsung #amazon",0
neutral,"Camera quality is very disappointing compared to redmi note 7 pro which also has 48mp
Samsung a7 24mp camera is far better than Samsung m30s 48mp camera",1
positive,"This is awesome model thanks samsung
Very good batry life good camera quality",2
negative, lady thinks shes watching scrubs... delusional.  shes bailing on our plans,0
positive, Camera is not that much good .It look like 20 megapixel not 64,2
negative,"Hotspot of.this phone is worst. It stops working automatically just after 3 or 4 minutes of uses. Then need to lift your phone, turn the screen on by fingerprint , and on the screen then again, hotspot start working.",0
negative,"Video download very baad, any app never downloaded at data,",0
positive,Nice phone in this budget range...,2
positive,"aww, jon ryan bob and greta in one picture? how adorable  and it brightens my morning, ty jon walker",2
positive,Excellent mobile,2
negative,"Switches off very often, then restarts. Hangs up lot",0
positive,amazing product,2
positive,Exlent,2
positive,Poco is good mobile phone and very much sitisfied with battery life and camera. Only expectation which was not met was either 2and SIM can be inserted or extra memory card and not both.,2
positive,"like: as per price it is a good one also updated to pie.provided one ui 1.1 which is not given in note 9 till now.good battery.smooth touch.worth money.
dislike:camera quality poor.in this price range mi is better.no notification led so cannot understand whether message or missed call came or not.",2
negative,RT @megynkelly: .@tedcruz:  Our leaders don’t want to enforce the immigration laws #GOPDebate,0
positive,Good product and nicely delivered,2
positive,"If you are looking to get a gaming phone with best performance you are at right place, you can play PUBG Battle Royale at HDR ,Extreme Graphics. Sound quality it also very good, if you won't miss headphone if you are using speakers while gaming because of the dual sound spearkers.
I would give 3/5 to both cameras not good but not bad as well.
Fingerprint reader is pretty slow, sometimes it does not detects the print, I have to rely on face lock.
I would say battery life of the phone is pretty choppy, it drains faster when you are playing games. I have not seen any heating problem in  my phone after this one month experience.
After buying the phone after a couple of days one of my friend also bought the same varient",2
negative,Performance quality is not much as expected....also delay in opening apps..and network supporting is also bad... finger print scanner is slow and battery life is normal as my previous one..the phone gets stuck even while playing small games...its bad decision to buy this...also can't even return this thing,0
negative,.@marklevinshow .@BillHemmer @marthamaccallum @BretBaier did fine. No more @megynkelly or @FoxNewsSunday Chris Wallace. at next #GOPDebates,0
negative,"Hangs, slow down, worst picture quality, finger print take time to open. Totally unworthy phone to buy at any price.",0
positive,Slow and hang 1st  day reboot automatically  mobile battery backup not perfect,2
positive,Nice phone...,2
neutral,"Janno Reiljan , a member of the Eesti Energia supervisory board , said the owners of Narva Power Grid had informed Eesti Energia about their wish to sell .",1
positive,Very well,2
negative,"Lets just begin with the obvious. This phone's quality doesn't meet the claims made.
Cons:
1. Camera Quality: Picture quality is just awful. Its worse than a 8MP camera. The pixelization is obvious and it is definitely not a 64MP camera. Do not believe the claims Samsung might make. The quad camera is of no use as the macro camera reminds me of the decade when VGA cameras were common.

2. Battery: Samsung may claim the battery will last for two days but it didnt last that long - no Netflix, Prime Video, heavy games being used. So that makes two of the biggest features useless.

3. Amazon's Policy: In case you don't like the phone, Amazon has made sure you are stuck with it. The switch from 10 day ""return"" policy to 10 day ""replacement"" policy is dowright wrong! Hold onto the shutters physical mobile stores - your days are not over yet. When you do request for replacement, there is an inspection of the phone at buyer's site - which I understand but the fact that replacement will occur almost on the 10th day from my purchase still keeps me at unease.

Pros:
1. Display: The screen quality is good and has adjustment options for warm light and cold light.

2. Performance: Streaming videos and playing heavy games was smooth for the first 4 days but then again Samsung is known for fast deterioration of performance, so I will keep my eyes and ears open.

3. Sound: Speaker quality is okay but not upto the mark. In a noisy place you fail to hear the crispness and the boom.",0
positive,"Excellent phone. Real flagship killer..good camera quality, smoth oxygen OS and 90HZ display.",2
neutral,"Don't buy by paying more than 13K. Average phone. If you are using MI phone, you will not like this phone.",1
negative,"Camera Quality is very very very Poor.
Both side Camera very very bad Quality",0
positive,"Excellent,",2
neutral,"The device offers multimedia performance along with a host of productivity applications , including live stock prices .",1
positive,Nice phone,2
negative,"RT @RWSurferGirl: I am wondering what Fox is up to with THIS debate -- get rid of Trump, Paul, Cruz, Carson? 🇺🇸 #GOPDebates  #GOPDebate",0
positive,My experience with this phone is pretty much good. It has good camera quality and better display quality as well and above all the battery optimization is also excellent.,2
negative,"Volume is extremely low, very disappointed",0
negative,Worst build quality and touchscreen starts heating after 15 minutea of use and finally display got brocken by dropping from 2 feet,0
negative,"Within four months, the phone stopped working.

Pathetic product.

Amazon team, pls ask the seller to take the product and return the money",0
positive,Good product,2
neutral,Psyched for Mother`s day at the GKR party--and teaching mom and dad about baseball,1
negative,All feature are good but camera look like 5 megapixel.  48 megapixel is looking like fake.,0
neutral,"ALEXANDRIA , Va. , July 11 -- Hannu Kahonen of Juuka , Finland , has developed an ornamental design for a handle for fire pit door , the U.S. Patent & Trademark Office announced .",1
positive,This phone is better than any other phones in that range.. *& Camera and fingerprint and battery life was awesome... I used this phone around 3 months and that was amazing experienced..,2
positive,Very good product,2
positive,"Fingerprint, Face detector,  battery and memory capacity is one of the finest in this price. However, we can still work more on camera quality and weight of the handset",2
positive,Best phone,2
negative,Worst product. Over heat issue. You will have head ache if you speak in phone call more than 8 mins keeping your phone near your head.,0
positive,"Simply the best Ethiopian I've ever had.  Grew up in VA with DC as my stompin grounds (home of a large Ethiopian population) and even had a good amount of Ethiopian home-cooked meals by friends and none was as good as this place.  

I go to AZ once a year for work and each time I am sure to stop in.  I usually get the veggie or meat-lovers meals since they tend to be such a good bargain, but have also ordered separate items as well.  

The vibe is casual and the service is excellent.  The staff have always been very friendly --- another reason I keep going back.",2
positive,Good in its class,2
positive,"Best battery life ever i have seen in any mobile phone. Also the Wrap Charger is superb. !!!
Morning...Wake Up...plug in Warp charge...take a bath...get ready...your phone will be charged 100%. So fast !!",2
negative,"Voice not coming properly signal problem.
Volte not coming while and not able to talk properly.

Mobile without call is zero value",0
negative,Issue with dual sim functionality,0
negative,Poor Quality....,0
positive,full kdk phone  he  bhai log,2
neutral,Battery lift very poor,1
negative,Software Problem happen.so many App not Supported.,0
negative,Please don't buy this product I am suffering after buying this phone major issue is battery gets drain within 3 hours and if we are in call if u get another call in between with whom u were speaking before they vl not be hear ur voice u need to disconnect the call n dial it again this problem occurs Everytime when ur in call.,0
positive,Excellent performance,2
negative,Battery Life Not Ok. Set Heated Up earlier.  Amazon cheated with me.,0
negative,"Very worst mobile, Waste of money",0
positive,Wow,2
neutral,"Camera quality - when zoomed in...the pixel quality is not so good.

Voice quality when on call is not good. The voice doesn't reach the caller clearly.",1
negative,Worst phone ever its battery life draining very fast even 5 hours also not coming,0
positive, Awesome,2
positive," I Love This Song lol, You`re amazing Steph , xoxo",2
neutral,"The paper industry 's de-inking sludge , which is produced in mills that use recycled fiber when printing ink is removed from recovered paper , is also a suitable raw material .",1
positive,🥰,2
negative,Totally waste.  K20 is so good. This one sucks.  Finger print not even working.  There is no pattern lock too,0
negative,Mobile dead after 3 months,0
positive,"Such a excellence mobile with have a very high quality camera and good touch screen, also a strong battery backup.",2
negative,It has problematic cell phone.... Don't buy... we are suffering so many problems about it,0
negative,"Operating profit for the 12-month period decreased from EUR157 .5 m , while net sales increased from EUR634 .3 m , as compared to 2007 .",0
negative,Don’t TRUST voice issue .,0
negative,GOP Debate News - Trump Shocks GOP Faithful http://t.co/P4LNTSUxKl  #DonaldTrump  #GOPDebate http://t.co/uArUD3Sk0F,0
positive,4*,2
neutral,"very good phone for this price range & its a samsung.
Display/ Camera - are good
Had a huge problem with SIM slot which is very badly designed.",1
neutral,I like battery life,1
neutral,"Battery sucks.. lasts 3-4 hrs on mobile data.
Camera rocks",1
negative,"An interesting concept that didn't end up being what I hoped for.  

I was pretty excited to try the Posh Noodles & Noshes Japanese street food as prepared by Josh Hebert.  I love Japanese food and was looking forward to the dishes that are not readily available in Phoenix.  Unfortunately I was underwhelmed by both the venue and the food.

The location inside the Lexington Hotel has definitely seen better days.  An attempt has been made to create a temporary generic space with chalkboard walls and butcher paper topped tables.  However, it came across as worn and dingy.

Our waitress was not familiar with the menu or drink offerings ('I didn't work here last night') but was friendly and did find out answers from other staff.  Foolishly thinking that we would love each and every dish and take home a lot to enjoy the next day, we tried a large assortment.  An expensive mistake.

Duck Gyoza w/ Ponzu - I prefer steamed gyoza over the fried presentation here.  Also, these had the tiniest, greasy portion of filling I have ever seen.

Homemade Tofu w/ Ginger, Scallion, Cherry Blossom - this was good, with a sweet, dessert-like flavor but a somewhat runny texture.

Okonomiyaki - this 'Japanese pizza' was among the better items.  However, the texture of the ingredients was strange - i.e. full slices of bacon rather than smaller bite-sized pieces made greasier than it needed to be and messy to eat

Tako Yaki - again, a strange texture with awkward large chunks of octopus surrounded by 'breading' that fell apart easily

The ramen dishes (Miso Ramen w/ Pork, Goma Ramen w/ Pork and Shitake Mushroom Rames) were small, and more or less indistinguishable from one another.   We left most of them behind, deciding not to take anything with us.

The dessert, Green Tea Pot de Crème was a nice finish but did not make me feel better overall about the $100+ meal.",0
positive,Nice phone with best quality battery,2
negative,Not as per expected earlier to buy this,0
negative,"Phone performance is too bad, finger print sensor takes much time to recognize,
After 3 months usage phone started to hang to prove it is a samsung product.
Samsung worst product..",0
positive,Disply is too good,2
negative,"Screen has colour shifting issue, camera quality bis pathetic, while recording videos screen shutters, battery blifebia preety average...over all not happy with the product...but wanted to thank Amazon for there customer support and after sales service",0
neutral,"yay! boxing!! although after the boxing, sparring & eating, have to spend the rest of the evening troubleshooting java code for hw.",1
positive,It’s best the quality product in best price tag,2
positive,This product A3 was not file manager and gallery so please carefully purchase and not to be used esaylly,2
negative,Phone hangs and freeze several times...bad experience!,0
positive,Best phone in this price range I would say must buy for photography lovers.  Battery life is awesome.,2
negative,Glass was third class catagary..it was broken,0
positive,about to drink a hot chocolate  yummy.,2
negative,"Worst product..
And worst service
They say they can return but when u ask for return they made up bullshit things that u can't return, u have to use it whether u like or not..
Terrible experience with Amzon..
Even m frequent buyer..bt i m disappointed ..
Better to buy phone from market atleast everything is clear cut over there.",0
positive,Good phone in this range,2
neutral,#GOPDebate #Republicandebate presidential primary debate poll TIME Mag #DonaldTrump Again..http://t.co/dTPelQIsUR http://t.co/NaG44rmM51,1
negative, ohh i would def give it 2 u but tht was kenyatta`s cam not mine  sry but i want tht pic 2,0
positive,"The camera of m31 is amazingly verey good.
Finger sensor quality is amazing.
The battery life if verey good .
I will suggest this phone to all.
Verey verey good phone M31.samsung.
I",2
negative,Utter waste invansion from samsung,0
positive,"Value for money. Sleek and very handy. Very good battery life.
excellent camera and long talk time. it charges very fast. the batter stay from more than 1.5 days even with heavy usage for calls, WIFI, Bluetooth etc being kept on.",2
positive,"Pros
1.Super display and touchscreen
2.Great battery
3. Android 10
4.brand value
Cons
1.processor performance is average
2.camera is above average",2
neutral,RT @megynkelly: What do the Democrats think about the #GOPDebate? @DWStweets and @billburton join #KellyFile LIVE.,1
neutral," that`s the prob, i work from home, and the bed`s calling, no, screaming out my name! had really strong coffee instead",1
positive,Fun at the water park then dinner at the rainforest cafe (all free!) then party tonight  pretty good Saturday I think.,2
positive,"This phone is just superb. Display quality as well  as battery life is amazing. Picture quality of cameras is fine. Fingerprint sensor is good as it gives quick response and processor is also good.
But when it comes to the colour of the back of the phone, it looks little unattractive.",2
positive,"My go-to restaurant for very tasty, genuine Thai food. Great lunch specials.  Favorites from the dinner menu: fish cake, tom kha soup, pad thai, hot basil, Thai iced tea",2
neutral, feel better soon! Your immune system must be away on holiday somewhere... probably with mine,1
positive,Very good product. Clear and bright display.,2
neutral,"i know they're doing their jobs and i can understand that. but we couldn't shake our saleslady. we finally had to say that if she didn't leave us alone, we were going to leave. we absolutely couldn't discuss anything because she was CONSTANTLY THERE! we even said we'll come find you if we need any help. literally any piece we glanced at, touched, or came near, she was on top of us ""oh isn't this a great piece. we can set up financing and lock in the sales price, and if you buy 5k worth today with cash, we'll throw in...etc"". every single item. 
they have nice stuff, no question about that. but i know this game. and it's not fun. it makes shopping miserable. and besides, it's too expensive for us. we got 3 of the same, exact pieces (same model, same sku) at pruitts for less than half we would have paid at Ashleys.",1
positive,The best quality and camera battery long time,2
positive,Nice mobile. I love it,2
positive,Nice and good,2
positive,"I love me some coffee. The french roast brew is perfect for surviving a long day of work. If you want something sweet, order the iced raspberry mocha. Just the right amount of sweetness without tasting like you're drinking syrup. The muffins are moist and delicious. The spinach salad here is surprisingly amazing (yes, they make spinach salad at this coffee place). The best part about this place? It is not full of hipsters and college students who hog all the decent seating and never leave. I can't wait to go back to try all of the other drinks offered.",2
positive,Better product,2
positive,I am dissapointed with camera but phone us very unique abd stylish,2
neutral, It`s been doing it for two days. We have a comcast technician scheduled for tomorrow morning.,1
negative,Worst mobile  not purchase this item my mobile software update but not touch work  40 day samsang service center display change not respect and redy am use nokia 1209 mobile,0
negative,Phone is worst.. camera is not good.. not worth buying.. Samsung again disappointed like always,0
negative,"The phone has major touch glitches. After trying at least 3-4 times, got this phone recently. All the excitement of receiving a new phone vanished when the touch started acting up. The phone shudders and starts operating on its own without even touching it. The camera features are quite good but the phone should be made stable first. Disappointed. Don't buy in flash sale. Their testing process is still going on.",0
positive,This is amazing mob. Nice one. You can buy it.,2
negative,"Fake bc camera doesn't work properly
And its damage piece
Dont trust on Amazon prime",0
neutral,Some times phone is hanging....software  speed dull....not bad.....worth of money..,1
positive,UPM-Kymmene has generated seventeen consecutive quarters of positive Cash Flow from Operations .,2
positive,Nice product,2
positive,Nice phone within the budget,2
positive,Average phone,2
negative,Mobile is very problem and battery problem,0
positive,"Firstly, its a great phone... i mean the best in this price range. I had many options like redmi, vivo, oppo, but after a lot of research i decided to give Samsung a chance, and ooh boy I'm happy.

The display of the phone only makes it worth the price, and one ui is also very very good, I have used color os, and miui before and i can say the one ui wouldn't disappoint you.

The battery life is above satisfactory, and I'm a really heavy user, so you can do the math.

The fingerprint reader is sadly average and not as fast as you would expect it to be.

And lastly the camera software of this phone sucks...front camera is decent but the rest is really really bad, i can say my 2years old oppo had better camera than this one, but that was a bit fixed with gcam mod which you can download if camera really matters to you that much.

Finally the performance will not disappoint you, it'll handle multitasking effortlessly.
And can't say anything about gaming cause I'm not much of a gamer.",2
neutral,Satisfaction,1
neutral,Nice,1
neutral,the sing store won`t work.,1
